"Video_chamber_5 - Counts for TP, FN: Manual Vs JAABA
"
Tuples overlapping with test tuple,"(11915, 11991)",are:,"[(11917, 11994)]"
Tuples overlapping with test tuple,"(12028, 12150)",are:,"[(12048, 12149)]"
Tuples overlapping with test tuple,"(13752, 13772)",are:,[]
Tuples overlapping with test tuple,"(13875, 13954)",are:,"[(13871, 13955)]"
Tuples overlapping with test tuple,"(14151, 14252)",are:,"[(14143, 14153), (14155, 14250)]"
Tuples overlapping with test tuple,"(14496, 14536)",are:,"[(14495, 14536)]"
Tuples overlapping with test tuple,"(14750, 14783)",are:,"[(14743, 14779)]"
Tuples overlapping with test tuple,"(15116, 15180)",are:,"[(15117, 15176)]"
Tuples overlapping with test tuple,"(15199, 15240)",are:,"[(15197, 15238)]"
Tuples overlapping with test tuple,"(15467, 15607)",are:,"[(15437, 15544), (15546, 15606)]"
Tuples overlapping with test tuple,"(15905, 15982)",are:,"[(15906, 15985)]"
Tuples overlapping with test tuple,"(16235, 16328)",are:,"[(16204, 16328)]"
Tuples overlapping with test tuple,"(16657, 16757)",are:,"[(16635, 16759)]"
Tuples overlapping with test tuple,"(17094, 17207)",are:,"[(17070, 17150), (17157, 17207)]"
Tuples overlapping with test tuple,"(17471, 17587)",are:,"[(17401, 17585)]"
Tuples overlapping with test tuple,"(17936, 18098)",are:,"[(17944, 17986), (17996, 18097)]"
Tuples overlapping with test tuple,"(18800, 18907)",are:,"[(18786, 18910)]"
Tuples overlapping with test tuple,"(19259, 19553)",are:,"[(19258, 19553)]"
Tuples overlapping with test tuple,"(19996, 20025)",are:,"[(20005, 20021)]"
Tuples overlapping with test tuple,"(20504, 20647)",are:,"[(20515, 20544), (20547, 20584), (20588, 20646)]"
Tuples overlapping with test tuple,"(20885, 20987)",are:,"[(20888, 20927), (20934, 20990)]"
Tuples overlapping with test tuple,"(21189, 21270)",are:,"[(21182, 21271)]"
Tuples overlapping with test tuple,"(21541, 21589)",are:,"[(21540, 21570)]"
Tuples overlapping with test tuple,"(22204, 22232)",are:,"[(22200, 22231)]"
Tuples overlapping with test tuple,"(24703, 24767)",are:,"[(24711, 24749), (24756, 24770)]"
Tuples overlapping with test tuple,"(24915, 25000)",are:,"[(24913, 24961), (24964, 25005)]"
Tuples overlapping with test tuple,"(25181, 25254)",are:,"[(25183, 25255)]"
Tuples overlapping with test tuple,"(25565, 25640)",are:,"[(25555, 25616)]"
Tuples overlapping with test tuple,"(26309, 26424)",are:,"[(26314, 26423)]"
Tuples overlapping with test tuple,"(26724, 26778)",are:,"[(26727, 26774)]"
"Video_chamber_5 - Counts for FP: Manual Vs Matebook
"

